,x,y,h,x,y,h,x,y,h,x,y,h,x,y,h,x,y,h,reward,done,ego_x,ego_y
0.0,3.6468500000000000e+02,-4.0250000000000004e+00,0.0000000000000000e+00,1.8405000000000001e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.5391499999999999e+02,-4.5050000000000008e+00,8.4031635476483173e-03,2.0591000000000000e+02,-8.1550000000000011e+00,-1.1493746715028175e-02,1.4380000000000001e+01,-4.0850000000000009e+00,-7.6334395174915588e-03,2.7845540000000000e+02,-4.0749999999999984e+00,0.0000000000000000e+00,,,,
0.04,3.6615500000000003e+02,-4.0250000000000004e+00,0.0000000000000000e+00,1.8535999999999999e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.5510499999999999e+02,-4.4949999999999992e+00,8.1965377499109635e-03,2.0678000000000000e+02,-8.1649999999999991e+00,0.0000000000000000e+00,1.5690000000000000e+01,-4.0949999999999989e+00,0.0000000000000000e+00,2.8011500000000001e+02,-4.0749999999999984e+00,0.0000000000000000e+00,0.0,0.0,184.5728,-7.7349999999999985
0.08,3.6769499999999999e+02,-4.0250000000000004e+00,0.0000000000000000e+00,1.8672000000000000e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.5632499999999999e+02,-4.4850000000000012e+00,7.9363413074671815e-03,2.0769000000000000e+02,-8.1649999999999991e+00,-1.0988568682735378e-02,1.7050000000000001e+01,-4.0949999999999989e+00,0.0000000000000000e+00,2.8163500000000005e+02,-4.0749999999999984e+00,0.0000000000000000e+00,0.0,0.0,185.57710994324555,-7.72233369335174
0.12,3.6925500000000000e+02,-4.0250000000000004e+00,0.0000000000000000e+00,1.8809999999999999e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.5758500000000001e+02,-4.4749999999999996e+00,7.9363413074645412e-03,2.0859999999999999e+02,-8.1750000000000007e+00,-1.0869137177268166e-02,1.8440000000000001e+01,-4.0949999999999989e+00,0.0000000000000000e+00,2.8320500000000004e+02,-4.0749999999999984e+00,-6.2111002528674568e-03,0.0,0.0,186.58271637804074,-7.698881380365394
0.16,3.7084500000000003e+02,-4.0250000000000004e+00,0.0000000000000000e+00,1.8950000000000000e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.5884500000000000e+02,-4.4650000000000016e+00,7.8738530241017103e-03,2.0951999999999998e+02,-8.1849999999999987e+00,-1.0637896575542809e-02,1.9850000000000001e+01,-4.0949999999999989e+00,0.0000000000000000e+00,2.8481500000000000e+02,-4.0850000000000000e+00,0.0000000000000000e+00,0.0,0.0,187.5895243173371,-7.665361445876451
0.2,3.7246500000000003e+02,-4.0250000000000004e+00,-6.0974854076830147e-03,1.9091999999999999e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.6011500000000001e+02,-4.4550000000000001e+00,7.7517827122081323e-03,2.1046000000000001e+02,-8.1950000000000003e+00,0.0000000000000000e+00,2.1270000000000000e+01,-4.0949999999999989e+00,-6.9928930053344222e-03,2.8643500000000000e+02,-4.0850000000000000e+00,0.0000000000000000e+00,0.0,0.0,188.59741064803413,-7.623354717475755
0.24,3.7410500000000002e+02,-4.0350000000000019e+00,0.0000000000000000e+00,1.9234000000000000e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.6140500000000000e+02,-4.4449999999999985e+00,7.6921559756472357e-03,2.1138999999999999e+02,-8.1950000000000003e+00,-1.0637896575543131e-02,2.2699999999999999e+01,-4.1050000000000004e+00,0.0000000000000000e+00,2.8808500000000004e+02,-4.0850000000000000e+00,-6.0605318583114437e-03,0.0,0.0,189.60651343562222,-7.573501546675758
0.28,3.7574500000000000e+02,-4.0350000000000019e+00,0.0000000000000000e+00,1.9375999999999999e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.6270500000000001e+02,-4.4350000000000005e+00,7.6334395174944159e-03,2.1232999999999998e+02,-8.2050000000000018e+00,0.0000000000000000e+00,2.4140000000000001e+01,-4.1050000000000004e+00,0.0000000000000000e+00,2.8973500000000001e+02,-4.0950000000000015e+00,0.0000000000000000e+00,0.0,0.0,190.6167524388983,-7.517193521777075
0.32,3.7738499999999999e+02,-4.0350000000000019e+00,0.0000000000000000e+00,1.9518000000000001e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.6401499999999999e+02,-4.4249999999999989e+00,7.6334395174915389e-03,2.1326999999999998e+02,-8.2050000000000018e+00,0.0000000000000000e+00,2.5570000000000000e+01,-4.1050000000000004e+00,0.0000000000000000e+00,2.9138500000000005e+02,-4.0950000000000015e+00,0.0000000000000000e+00,0.0,0.0,191.62806938304473,-7.45559988162886
0.36,3.7902500000000003e+02,-4.0350000000000019e+00,0.0000000000000000e+00,1.9660999999999999e+02,-3.8850000000000007e+00,0.0000000000000000e+00,1.6532499999999999e+02,-4.4150000000000009e+00,7.6334395174942503e-03,2.1421000000000001e+02,-8.2050000000000018e+00,0.0000000000000000e+00,2.7010000000000002e+01,-4.1050000000000004e+00,-6.9928930053344222e-03,2.9304500000000002e+02,-4.0950000000000015e+00,0.0000000000000000e+00,0.0,0.0,192.64037629852842,-7.390135327669632
